run,alerts,low,medium,high,unique_pairs,reversals,reversal_percent,episodes_after_grouping,max_abs_delta
aws_20_10,251,184,60,7,3,196,78.09,200,1.5028195198847478
aws_60_30,23,18,4,1,3,21,91.3,20,0.9720664048676021
complex_20_10,19,3,2,14,3,14,73.68,14,1.7758909784700339
traffic_20_10,282,194,68,20,6,193,68.44,212,1.040541992180385
traffic_60_30,43,38,4,1,6,26,60.47,41,0.7038500838803012
